user_id,disposition_change_valence,disposition_change_arousal
1,0.6666666666666667,0.5
2,-0.1587078651685394,-0.18909601634320736
3,0.8333333333333334,0.0
4,-1.75,1.0
6,-0.09090909090909091,0.17272727272727273
7,2.0,2.0
8,0.0,0.0
10,1.5,0.5
11,-0.5483870967741935,-0.38508064516129037
14,-2.5,-0.5
15,0.6,0.0
16,0.23684210526315788,-0.3421052631578947
17,0.08490566037735847,0.007619738751814209
18,0.0,0.19999999999999996
19,-0.16666666666666669,-0.8333333333333333
20,0.0,1.0
21,0.0,0.5
23,2.1666666666666665,0.75
24,0.6666666666666666,2.0
25,1.0,0.5
26,0.4052631578947368,0.15263157894736834
27,-0.6818181818181819,-0.27272727272727276
28,-0.5,0.0
29,-3.666666666666667,0.6666666666666667
30,1.0,-1.0
31,0.0,0.5
32,1.8333333333333333,0.6666666666666667
33,-0.6296296296296295,-0.0185185185185186
34,2.0,0.0
35,-2.0,-1.0
36,0.5666666666666665,-0.43333333333333335
38,0.01573129251700689,-0.14923469387755106
39,0.55,-0.050000000000000044
40,0.019417475728155338,0.34951456310679596
41,2.0,2.0
42,0.0,-1.0
43,1.0,0.5
44,-0.5,0.5
45,-0.4130434782608695,0.15398550724637683
46,-0.33333333333333326,-1.0833333333333335
47,0.0,0.0
50,0.6666666666666667,-0.11111111111111094
51,-2.0,0.0
52,1.3,0.19999999999999996
54,-0.6000000000000001,-0.9999999999999999
56,0.8,0.4
57,0.5935672514619883,0.17543859649122806
58,0.3830409356725146,-0.0643274853801169
59,0.75,-0.2
60,0.0,0.0
61,1.4,-1.0
62,-0.11111111111111116,-0.05555555555555555
63,1.0,-0.5
64,-0.5444444444444445,-0.033333333333333326
66,-1.0,-0.2
67,-1.05,-0.30000000000000004
68,0.25,-0.25
71,0.0,-0.16666666666666663
72,1.0,-1.0
73,0.15000000000000002,-0.6499999999999999
74,1.1666666666666665,0.5
75,0.875,0.75
76,0.2555555555555556,-0.5333333333333333
77,0.40000000000000013,0.5
78,0.0,0.41666666666666663
79,0.14393939393939392,0.015151515151515138
80,1.1428571428571428,0.5714285714285715
81,-0.1,0.09999999999999998
83,0.2941176470588236,-0.11764705882352938
85,0.5619047619047619,-0.09047619047619038
86,-0.85,-0.6000000000000001
87,2.916666666666667,-0.33333333333333337
88,0.625,-0.125
89,0.4285714285714286,0.14285714285714302
90,-0.26363636363636345,-0.5727272727272728
91,-0.025000000000000022,-0.425
93,-0.6666666666666665,0.5555555555555555
94,-1.3035714285714286,-0.5714285714285714
95,-0.8194444444444444,0.09722222222222221
96,0.42857142857142855,-0.5714285714285714
98,-0.375,0.125
99,-0.42857142857142855,0.42857142857142855
103,-0.17083333333333328,-0.20833333333333337
105,0.4285714285714286,0.42857142857142855
106,0.25,0.04999999999999999
107,-0.25,0.6111111111111112
108,-0.0714285714285714,0.0
109,0.9166666666666667,1.25
113,-0.9666666666666667,-0.8333333333333334
114,-0.28571428571428575,-0.1428571428571429
116,-0.5444444444444445,-0.011111111111111183
119,1.6666666666666665,1.3333333333333335
120,-0.19047619047619047,-0.0714285714285714
121,0.9666666666666666,0.38888888888888884
122,-0.5,0.5000000000000001
124,0.4,-0.1499999999999999
125,0.5,-0.4166666666666667
126,-0.2222222222222222,-0.2222222222222222
127,-0.5952380952380952,0.8095238095238096
128,-1.375,-0.375
131,0.8,0.40000000000000013
133,0.13333333333333341,-0.3666666666666667
134,0.42857142857142855,-0.1428571428571429
137,1.4285714285714286,0.2857142857142857
138,0.6111111111111112,0.2555555555555556
139,0.19999999999999996,-0.20000000000000007
140,0.33333333333333337,0.05555555555555558
141,-1.0,-0.16666666666666674
142,0.6,-0.20000000000000007
144,0.19999999999999996,0.10000000000000009
145,1.1666666666666665,-0.5833333333333334
146,0.8333333333333334,0.33333333333333337
147,-0.08181818181818182,0.18181818181818177
148,0.0,-0.3999999999999999
150,-0.7,-0.20000000000000007
152,0.6666666666666667,0.0
153,-0.0535714285714286,0.1607142857142857
155,-0.6666666666666666,0.33333333333333337
158,-0.34967320261437906,-0.130718954248366
161,0.5666666666666667,-0.3111111111111111
162,1.0,0.0
163,-0.35714285714285715,-0.23214285714285715
164,-0.55,0.19999999999999996
166,-1.5,-2.0
167,-0.3333333333333335,-0.3333333333333333
168,0.2222222222222222,0.4305555555555556
169,0.19999999999999996,-0.32894736842105265
170,-0.625,0.11111111111111116
171,-0.19090909090909092,0.8636363636363636
172,-0.2777777777777778,0.16666666666666663
173,1.0,0.0
174,-0.6666666666666667,0.054166666666666696
176,0.0,0.5
178,2.5,1.0
179,-0.2333333333333333,-0.5555555555555556
180,-0.6527777777777778,0.3194444444444444
182,0.3333333333333333,-0.33333333333333337
